category,users_products_link,cost_terms,created,image,location2,user_type,name,cost,link,location,user_since,name2,created2,summary,user,desc
"Electronics & Video » TV, Audio & Video",https://www.olx.co.ke/ads/user/6Nz9g/,Negotiable,Yesterday 19:35,https://img03.olx.co.ke/images_olxke/1001573662_1_261x203_24-lg-digital-tv-koma-rock.jpg,"Koma Rock, Nairobi",Business,"24"" lg digital tv","KSh  19,000",https://www.olx.co.ke/ad/24-lg-digital-tv-ID15M1M5.html#9e5d42e9d9,Koma Rock,On site since Jun 2016,"24"" lg digital tv",,Ad,Roba,"Brandnew 24"" digital tv. With an inbuilt free to air decoder. Trade in acceptable"
Electronics & Video » Computers & Laptops,https://www.olx.co.ke/ads/user/6O3FL/,Negotiable,Yesterday 19:37,https://img01.olx.co.ke/images_olxke/1002283713_1_261x203_computer-repair-laptop-desktop-tftprinter-networking-repairs-nairobi-cbd.jpg,"Nairobi CBD, Nairobi",Individual,"COMPUTER REPAIR , laptop , desktop , tft,printer , networking repairs","KSh  2,500",https://www.olx.co.ke/ad/computer-repair-laptop-desktop-tft-printer-networking-repairs-ID15OTh7.html#9e5d42e9d9,Nairobi CBD,On site since Aug 2016,"COMPUTER REPAIR , laptop , desktop , tft,printer , networking repairs","Added at 19:37, 21 February 2017,",Ad,Bazztech solution,WE DO REPAIR
"Electronics & Video » TV, Audio & Video",https://www.olx.co.ke/ads/user/6Nz9g/,Negotiable,Yesterday 19:36,https://img02.olx.co.ke/images_olxke/1001787612_1_261x203_samsung-24-led-digital-tv-koma-rock.jpg,"Koma Rock, Nairobi",Business,"Samsung 24"" led digital tv","KSh  18,000",https://www.olx.co.ke/ad/samsung-24-led-digital-tv-ID15MV2V.html#9e5d42e9d9,Koma Rock,On site since Jun 2016,"Samsung 24"" led digital tv",,Ad,Roba,"Brandnew 24"" digital tv. Watch digital free to air channels and all local channels for free."
Electronics & Video » Computers & Laptops,https://www.olx.co.ke/ads/user/6P1UA/,Negotiable,Yesterday 19:44,https://img03.olx.co.ke/images_olxke/1002453668_1_261x203_ultimate-pharmacy-management-system-with-pos-nairobi-cbd.jpg,"Nairobi CBD, Nairobi",Business,Ultimate Pharmacy Management System With POS,"KSh  18,000",https://www.olx.co.ke/ad/ultimate-pharmacy-management-system-with-pos-ID15Pwog.html#9e5d42e9d9,Nairobi CBD,On site since Jan 2017,Ultimate Pharmacy Management System With POS,"Added at 19:44, 21 February 2017,",Ad,Martin Maina Githinji,Ultimate solution for any kind of :
Electronics & Video » Computers & Laptops,https://www.olx.co.ke/ads/user/6Mi9Q/,,Yesterday 19:39,https://img02.olx.co.ke/images_olxke/1000118891_1_261x203_dell-390-cpu-tower-workstation-core2duo-18ghz2gb160g-nvidia-nairobi-cbd.jpg,"Nairobi CBD, Nairobi",Individual,"Dell 390 CPU Tower workstation: Core2duo 1.8ghz,2gb,160g nvidia","KSh  5,900",https://www.olx.co.ke/ad/dell-390-cpu-tower-workstation-core2duo-1-8ghz-2gb-160g-nvidia-ID15Gl3Q.html#9e5d42e9d9,Nairobi CBD,On site since Nov 2015,"Dell 390 CPU Tower workstation: Core2duo 1.8ghz,2gb,160g nvidia","Added at 19:39, 21 February 2017,",Ad,Jim,"Core2duo (1.8ghz, 2gb,250gb)"
"Electronics & Video » TV, Audio & Video",https://www.olx.co.ke/ads/user/6Ovvz/,,Yesterday 19:50,https://img02.olx.co.ke/images_olxke/1002559365_1_261x203_samsung-tv-and-lg-home-theatre-bamburi.jpg,"Bamburi, Kisauni, Mombasa",Individual,Samsung tv and lg home theatre,"KSh  5,000",https://www.olx.co.ke/ad/samsung-tv-and-lg-home-theatre-ID15PSLj.html#9e5d42e9d9,Bamburi,On site since Nov 2016,Samsung tv and lg home theatre,,Ad,Kim,"Broken 32 inch screen ,but mother board,power supply works perfectly same as LG home theater"
Electronics & Video » Cameras & accessories,https://www.olx.co.ke/ads/user/6Ovvz/,,Yesterday 19:54,https://img03.olx.co.ke/images_olxke/1002559388_1_261x203_kodak-bamburi.jpg,"Bamburi, Kisauni, Mombasa",Individual,Kodak,"KSh  3,000",https://www.olx.co.ke/ad/kodak-ID15PSLw.html#9e5d42e9d9,Bamburi,On site since Nov 2016,Kodak,,Ad,Kim,"12 megapixel,flash"
"Electronics & Video » TV, Audio & Video",https://www.olx.co.ke/ads/user/6Nz9g/,Negotiable,Yesterday 19:41,https://img01.olx.co.ke/images_olxke/1002501950_1_261x203_eltax-column-speakers-embakasi-central.jpg,"Komarock, Embakasi Central, Nairobi",Business,Eltax column speakers,"KSh  28,000",https://www.olx.co.ke/ad/eltax-column-speakers-ID15PGpN.html#9e5d42e9d9,Komarock,On site since Jun 2016,Eltax column speakers,,Ad,Roba,Column speakers each has 3 tweeters and two mid speakers. Very clean. Very clear and high quality sarround sound. Comes with an optional powered subwoofer
"Electronics & Video » TV, Audio & Video",https://www.olx.co.ke/ads/user/6OtU4/,Negotiable,Yesterday 19:51,https://img03.olx.co.ke/images_olxke/1002553607_1_261x203_taj-24-inches-digital-tv-brand-new-sealed-nairobi-cbd.jpg,"Nairobi CBD, Nairobi",Business,TAJ 24 inches digital TV brand new sealed,"KSh  12,200",https://www.olx.co.ke/ad/taj-24-inches-digital-tv-brand-new-sealed-ID15PRtx.html#9e5d42e9d9,Nairobi CBD,On site since Oct 2016,TAJ 24 inches digital TV brand new sealed,,Ad,Amos,Brand new sealed at shop
Electronics & Video » Computers & Laptops,https://www.olx.co.ke/ads/user/1xo8i/,,Yesterday 19:47,https://img02.olx.co.ke/images_olxke/829024462_1_261x203_ddr3-2gb-desktop-memory-to-be-tested-b4-purchasing-nairobi-cbd.jpg,"Nairobi CBD, Nairobi",Individual,Ddr3 2gb desktop memory to be tested b4 purchasing,"KSh  1,300",https://www.olx.co.ke/ad/ddr3-2gb-desktop-memory-to-be-tested-b4-purchasing-IDU6w8i.html#9e5d42e9d9,Nairobi CBD,On site since Mar 2015,Ddr3 2gb desktop memory to be tested b4 purchasing,"Added at 19:47, 21 February 2017,",Ad,Eric,Ddr3 2gb desktop memory to be tested b4 purchasing.Brand new.
